,graph,avg_recall_drop,size,variance
93,LocalReconnectHNSWGraph,0.3,50000,0.023
94,NaiveDeleteHNSWGraph,0.32699999999999996,50000,0.025370999999999998
95,LocalReconnectHNSWGraph,0.31,50000,0.025599999999999998
96,NaiveDeleteHNSWGraph,0.29200000000000004,50000,0.020936
97,NaiveDeleteHNSWGraph,0.32299999999999995,50000,0.024771
98,LocalReconnectHNSWGraph,0.29650000000000004,50000,0.02343775
99,LocalReconnectHNSWGraph,0.31299999999999994,50000,0.026730999999999998
100,NaiveDeleteHNSWGraph,0.2755,60000,0.01704975
101,LocalReconnectHNSWGraph,0.298,60000,0.024896
102,NaiveDeleteHNSWGraph,0.271,60000,0.021859000000000003
103,LocalReconnectHNSWGraph,0.2955,60000,0.02092975
104,NaiveDeleteHNSWGraph,0.27649999999999997,60000,0.02569775
105,NaiveDeleteHNSWGraph,0.29700000000000004,60000,0.024190999999999997
106,LocalReconnectHNSWGraph,0.28300000000000003,60000,0.021011
107,LocalReconnectHNSWGraph,0.28049999999999997,60000,0.02096975
108,NaiveDeleteHNSWGraph,0.285,60000,0.023975
109,LocalReconnectHNSWGraph,0.27449999999999997,60000,0.01999975
110,NaiveDeleteHNSWGraph,0.29,60000,0.023899999999999998
111,LocalReconnectHNSWGraph,0.29700000000000004,60000,0.026090999999999996
112,NaiveDeleteHNSWGraph,0.28350000000000003,60000,0.02137775
113,NaiveDeleteHNSWGraph,0.264,60000,0.021904
114,LocalReconnectHNSWGraph,0.2735,60000,0.01944775
115,LocalReconnectHNSWGraph,0.27399999999999997,60000,0.018124
116,NaiveDeleteHNSWGraph,0.26550000000000007,60000,0.023759749999999996
117,NaiveDeleteHNSWGraph,0.28049999999999997,60000,0.02706975
118,LocalReconnectHNSWGraph,0.2765,60000,0.02259775
119,LocalReconnectHNSWGraph,0.271,60000,0.019158999999999995
120,NaiveDeleteHNSWGraph,0.26649999999999996,70000,0.02202775
121,LocalReconnectHNSWGraph,0.2895,70000,0.026839750000000002
122,NaiveDeleteHNSWGraph,0.2625,70000,0.01964375
123,LocalReconnectHNSWGraph,0.25,70000,0.02
124,NaiveDeleteHNSWGraph,0.26799999999999996,70000,0.022276000000000004
125,NaiveDeleteHNSWGraph,0.281,70000,0.025339
126,LocalReconnectHNSWGraph,0.254,70000,0.017584000000000002
127,LocalReconnectHNSWGraph,0.26849999999999996,70000,0.02105775
128,NaiveDeleteHNSWGraph,0.24100000000000002,70000,0.017818999999999998
129,NaiveDeleteHNSWGraph,0.265,70000,0.021174999999999996
130,LocalReconnectHNSWGraph,0.243,70000,0.019250999999999997
131,LocalReconnectHNSWGraph,0.256,70000,0.021064
132,NaiveDeleteHNSWGraph,0.249,70000,0.019499
133,LocalReconnectHNSWGraph,0.27149999999999996,70000,0.024837749999999995
134,NaiveDeleteHNSWGraph,0.262,70000,0.025456
135,LocalReconnectHNSWGraph,0.251,70000,0.021899
136,NaiveDeleteHNSWGraph,0.277,70000,0.022971000000000005
137,NaiveDeleteHNSWGraph,0.28850000000000003,70000,0.02201775
138,LocalReconnectHNSWGraph,0.2745,70000,0.02339975
139,LocalReconnectHNSWGraph,0.267,70000,0.020011
140,NaiveDeleteHNSWGraph,0.228,80000,0.019516000000000002
141,LocalReconnectHNSWGraph,0.223,80000,0.022471
142,NaiveDeleteHNSWGraph,0.24,80000,0.0191
143,LocalReconnectHNSWGraph,0.23500000000000004,80000,0.019875
144,NaiveDeleteHNSWGraph,0.23149999999999998,80000,0.01965775
145,LocalReconnectHNSWGraph,0.24,80000,0.0191
146,NaiveDeleteHNSWGraph,0.2575,80000,0.02284375
147,LocalReconnectHNSWGraph,0.23800000000000002,80000,0.019456
148,NaiveDeleteHNSWGraph,0.257,80000,0.019551
149,NaiveDeleteHNSWGraph,0.245,80000,0.020175000000000002
150,LocalReconnectHNSWGraph,0.26050000000000006,80000,0.020389749999999998
151,LocalReconnectHNSWGraph,0.252,80000,0.019696
152,NaiveDeleteHNSWGraph,0.23850000000000002,80000,0.02106775
153,LocalReconnectHNSWGraph,0.2535,80000,0.024287750000000004
154,NaiveDeleteHNSWGraph,0.23,80000,0.019700000000000002
155,LocalReconnectHNSWGraph,0.23199999999999998,80000,0.019176
156,NaiveDeleteHNSWGraph,0.24050000000000002,80000,0.02160975
157,LocalReconnectHNSWGraph,0.25550000000000006,80000,0.022169750000000002
158,NaiveDeleteHNSWGraph,0.23550000000000001,80000,0.02078975
159,LocalReconnectHNSWGraph,0.2475,80000,0.019793749999999995
160,NaiveDeleteHNSWGraph,0.22650000000000003,90000,0.02024775
161,NaiveDeleteHNSWGraph,0.22450000000000003,90000,0.023249750000000003
162,LocalReconnectHNSWGraph,0.2335,90000,0.018827749999999997
163,LocalReconnectHNSWGraph,0.2245,90000,0.019349750000000002
164,NaiveDeleteHNSWGraph,0.24700000000000003,90000,0.019991000000000002
165,LocalReconnectHNSWGraph,0.22,90000,0.016700000000000003
166,NaiveDeleteHNSWGraph,0.243,90000,0.018851
167,LocalReconnectHNSWGraph,0.23200000000000004,90000,0.018076
168,NaiveDeleteHNSWGraph,0.21600000000000003,90000,0.016444
169,LocalReconnectHNSWGraph,0.22700000000000004,90000,0.019471000000000006
170,NaiveDeleteHNSWGraph,0.239,90000,0.019178999999999998
171,LocalReconnectHNSWGraph,0.23399999999999999,90000,0.017944
172,NaiveDeleteHNSWGraph,0.23550000000000001,90000,0.022589749999999995
173,LocalReconnectHNSWGraph,0.2375,90000,0.021843750000000002
174,LocalReconnectHNSWGraph,0.21450000000000002,90000,0.019139749999999997
175,NaiveDeleteHNSWGraph,0.23200000000000004,90000,0.018575999999999995
176,NaiveDeleteHNSWGraph,0.235,90000,0.018775
177,LocalReconnectHNSWGraph,0.237,90000,0.019531
178,LocalReconnectHNSWGraph,0.223,90000,0.017571
